country;degree_centrality;vulnerability;exportation_strength;hubness;period
BG;0,09;0,95;0,0;0,46;202210
LU;0,04;0,96;0,0;0,45;202210
NG;0,04;0,0;0,0;0,44;202210
MX;0,02;0,0;0,0;0,45;202210
MA;0,04;0,0;0,0;0,4;202210
LT;0,07;0,95;0,0;0,47;202210
LV;0,02;0,98;0,0;0,32;202210
IQ;0,04;0,0;0,0;0,41;202210
TH;0,04;0,0;0,0;0,47;202210
CA;0,04;0,0;0,0;0,47;202210
SG;0,02;0,0;0,0;0,43;202210
BD;0,02;0,0;0,0;0,45;202210
UA;0,02;0,0;0,0;0,39;202210
HR;0,04;0,96;0,0;0,48;202210
ID;0,02;0,0;0,0;0,34;202210
AU;0,04;0,0;0,0;0,47;202210
TN;0,02;0,0;0,0;0,39;202210
NL;0,83;0,43;0,1;0,72;202211
DE;1,09;0,29;0,16;0,82;202211
CN;0,29;0,0;0,1;0,58;202211
FR;0,66;0,53;0,05;0,64;202211
BE;0,45;0,69;0,05;0,59;202211
PL;0,55;0,69;0,04;0,6;202211
IT;0,71;0,55;0,05;0,65;202211
AT;0,33;0,79;0,02;0,55;202211
US;0,21;0,0;0,06;0,55;202211
CZ;0,31;0,84;0,03;0,54;202211
ES;0,43;0,69;0,04;0,59;202211
CH;0,12;0,0;0,02;0,52;202211
NO;0,09;0,0;0,02;0,49;202211
GB;0,16;0,0;0,03;0,54;202211
HU;0,33;0,81;0,01;0,55;202211
PT;0,16;0,9;0,01;0,52;202211
SE;0,34;0,79;0,02;0,55;202211
IE;0,19;0,9;0,01;0,53;202211
DK;0,19;0,88;0,01;0,5;202211
SK;0,21;0,9;0,01;0,5;202211
RO;0,22;0,84;0,01;0,54;202211
DZ;0,05;0,0;0,01;0,43;202211
TR;0,1;0,0;0,01;0,52;202211
JP;0,07;0,0;0,01;0,5;202211
FI;0,1;0,95;0,0;0,48;202211
AZ;0,02;0,0;0,0;0,4;202211
TW;0,03;0,0;0,01;0,48;202211
RU;0,21;0,0;0,02;0,55;202211
KR;0,09;0,0;0,01;0,51;202211
VN;0,03;0,0;0,0;0,48;202211
IN;0,09;0,0;0,01;0,51;202211
MY;0,03;0,0;0,0;0,48;202211
ZA;0,02;0,0;0,0;0,45;202211
BR;0,05;0,0;0,0;0,49;202211
SA;0,03;0,0;0,0;0,41;202211
SI;0,1;0,93;0,0;0,48;202211
MX;0,05;0,0;0,0;0,48;202211
GR;0,12;0,9;0,0;0,49;202211
LU;0,03;0,97;0,0;0,46;202211
LY;0,03;0,0;0,0;0,47;202211
MA;0,03;0,0;0,0;0,41;202211
BG;0,07;0,97;0,0;0,46;202211
QA;0,05;0,0;0,0;0,46;202211
NG;0,03;0,0;0,0;0,44;202211
LT;0,05;0,97;0,0;0,47;202211
LV;0,02;0,98;0,0;0,32;202211
AE;0,02;0,0;0,0;0,45;202211
KZ;0,03;0,0;0,0;0,46;202211
TH;0,03;0,0;0,0;0,48;202211
AO;0,02;0,0;0,0;0,39;202211
IQ;0,03;0,0;0,0;0,43;202211
HR;0,03;0,97;0,0;0,47;202211
UA;0,02;0,0;0,0;0,38;202211
CA;0,03;0,0;0,0;0,48;202211
AU;0,02;0,0;0,0;0,42;202211
PH;0,02;0,0;0,0;0,45;202211
ID;0,02;0,0;0,0;0,42;202211
BD;0,02;0,0;0,0;0,45;202211
SG;0,02;0,0;0,0;0,42;202211
NL;0,84;0,41;0,1;0,72;202212
DE;1,07;0,32;0,16;0,8;202212
CN;0,29;0,0;0,1;0,57;202212
FR;0,7;0,5;0,05;0,65;202212
BE;0,45;0,7;0,06;0,58;202212
PL;0,59;0,66;0,04;0,61;202212
IT;0,8;0,46;0,05;0,68;202212
AT;0,29;0,84;0,02;0,54;202212
ES;0,48;0,64;0,04;0,6;202212
US;0,18;0,0;0,06;0,54;202212
CZ;0,32;0,84;0,03;0,54;202212
NO;0,16;0,0;0,03;0,53;202212
CH;0,14;0,0;0,02;0,52;202212
GB;0,14;0,0;0,03;0,52;202212
PT;0,14;0,91;0,01;0,51;202212
IE;0,23;0,88;0,02;0,53;202212
HU;0,34;0,82;0,01;0,55;202212
SE;0,38;0,79;0,02;0,56;202212
DZ;0,05;0,0;0,01;0,43;202212
DK;0,18;0,89;0,01;0,49;202212
RO;0,2;0,86;0,01;0,51;202212
SK;0,16;0,91;0,01;0,47;202212
